# 2026-08-02 13:38  commit 79bbd9c  runs=10 tokens=100
format,threads,run,ms_per_token
Q4_0,11,8,9.25
Q4_0,11,9,9.71
Q4_0,11,10,9.56
Q4_0,12,1,9.79
Q4_0,12,2,9.87
Q4_0,12,3,10.35
Q4_0,12,4,9.79
Q4_0,12,5,9.86
Q4_0,12,6,9.74
Q4_0,12,7,9.53
Q4_0,12,8,9.38
Q4_0,12,9,9.68
Q4_0,12,10,9.75
BF16,1,1,69.80
BF16,1,2,69.02
BF16,1,3,69.70
BF16,1,4,70.41
BF16,1,5,69.30
BF16,1,6,70.32
BF16,1,7,69.50
BF16,1,8,70.04
BF16,1,9,69.32
BF16,1,10,69.47
BF16,2,1,36.18
BF16,2,2,35.64
BF16,2,3,36.03
BF16,2,4,35.53
BF16,2,5,36.03
BF16,2,6,36.35
BF16,2,7,35.71
BF16,2,8,35.93
BF16,2,9,36.09
BF16,2,10,36.26
BF16,3,1,25.74
BF16,3,2,25.94
BF16,3,3,25.94
BF16,3,4,25.58
BF16,3,5,25.94
BF16,3,6,25.65
BF16,3,7,25.76
BF16,3,8,26.10
BF16,3,9,26.13
BF16,3,10,25.54
BF16,4,1,20.19
BF16,4,2,20.23
BF16,4,3,20.03
BF16,4,4,19.86
BF16,4,5,19.65
BF16,4,6,19.66
BF16,4,7,19.90
BF16,4,8,20.40
BF16,4,9,19.98
BF16,4,10,19.98
BF16,5,1,17.43
BF16,5,2,17.91
BF16,5,3,17.53
BF16,5,4,17.54
BF16,5,5,17.82
BF16,5,6,18.64
BF16,5,7,17.52
BF16,5,8,18.47
BF16,5,9,18.07
BF16,5,10,17.87
BF16,6,1,17.00
BF16,6,2,15.91
BF16,6,3,16.46
BF16,6,4,16.53
BF16,6,5,15.95
BF16,6,6,16.12
BF16,6,7,16.17
BF16,6,8,16.49
BF16,6,9,16.43
BF16,6,10,16.21
BF16,7,1,15.22
BF16,7,2,15.87
BF16,7,3,16.26
BF16,7,4,15.98
BF16,7,5,15.92
BF16,7,6,15.46
BF16,7,7,15.31
BF16,7,8,15.58
BF16,7,9,15.39
BF16,7,10,15.93
BF16,8,1,16.45
BF16,8,2,15.38
BF16,8,3,16.46
BF16,8,4,16.08
BF16,8,5,16.51
BF16,8,6,17.26
BF16,8,7,17.64
BF16,8,8,16.05
BF16,8,9,15.45
BF16,8,10,17.44
BF16,9,1,16.61
BF16,9,2,17.76
BF16,9,3,16.11
BF16,9,4,15.92
BF16,9,5,16.61
BF16,9,6,17.37
BF16,9,7,16.40
BF16,9,8,16.74
BF16,9,9,18.31
BF16,9,10,16.83
BF16,10,1,18.18
BF16,10,2,17.08
BF16,10,3,16.71
BF16,10,4,16.39
BF16,10,5,17.80
BF16,10,6,17.74
BF16,10,7,18.05
BF16,10,8,16.50
BF16,10,9,17.85
BF16,10,10,18.64
BF16,11,1,16.81
BF16,11,2,17.55
BF16,11,3,18.35
BF16,11,4,17.78
BF16,11,5,16.53
BF16,11,6,18.43
BF16,11,7,18.18
BF16,11,8,20.02
BF16,11,9,20.56
BF16,11,10,20.02
BF16,12,1,23.69
BF16,12,2,21.06
BF16,12,3,23.73
BF16,12,4,20.82
BF16,12,5,20.02
BF16,12,6,19.41
BF16,12,7,22.26
BF16,12,8,22.31
BF16,12,9,21.77
BF16,12,10,20.87
